Region.Label,Area,Sample.Label,Effort,object,distance,Study.Area
Montrave,33.2,13,0.408,246,40,Montrave 4
Montrave,33.2,13,0.408,247,0,Montrave 4
Montrave,33.2,13,0.408,248,100,Montrave 4
Montrave,33.2,13,0.408,249,45,Montrave 4
Montrave,33.2,13,0.408,250,20,Montrave 4
Montrave,33.2,13,0.408,256,40,Montrave 4
Montrave,33.2,13,0.408,257,20,Montrave 4
Montrave,33.2,13,0.408,258,45,Montrave 4
Montrave,33.2,13,0.408,259,45,Montrave 4
Montrave,33.2,14,0.542,265,80,Montrave 4
Montrave,33.2,14,0.542,266,5,Montrave 4
Montrave,33.2,14,0.542,267,35,Montrave 4
Montrave,33.2,14,0.542,268,35,Montrave 4
Montrave,33.2,14,0.542,269,10,Montrave 4
Montrave,33.2,14,0.542,273,50,Montrave 4
Montrave,33.2,14,0.542,274,30,Montrave 4
Montrave,33.2,14,0.542,275,20,Montrave 4
Montrave,33.2,14,0.542,276,35,Montrave 4
Montrave,33.2,14,0.542,277,60,Montrave 4
Montrave,33.2,14,0.542,278,15,Montrave 4
Montrave,33.2,14,0.542,279,10,Montrave 4
Montrave,33.2,15,0.472,286,22,Montrave 4
Montrave,33.2,15,0.472,287,15,Montrave 4
Montrave,33.2,15,0.472,288,30,Montrave 4
Montrave,33.2,15,0.472,289,40,Montrave 4
Montrave,33.2,15,0.472,294,15,Montrave 4
Montrave,33.2,15,0.472,295,35,Montrave 4
Montrave,33.2,15,0.472,296,16,Montrave 4
Montrave,33.2,15,0.472,297,15,Montrave 4
Montrave,33.2,15,0.472,298,25,Montrave 4
Montrave,33.2,16,0.378,301,60,Montrave 4
Montrave,33.2,16,0.378,303,35,Montrave 4
Montrave,33.2,17,0.354,312,10,Montrave 4
Montrave,33.2,17,0.354,313,55,Montrave 4
Montrave,33.2,17,0.354,314,12,Montrave 4
Montrave,33.2,17,0.354,318,35,Montrave 4
Montrave,33.2,17,0.354,319,30,Montrave 4
Montrave,33.2,17,0.354,320,70,Montrave 4
Montrave,33.2,17,0.354,321,25,Montrave 4
Montrave,33.2,18,0.4,326,10,Montrave 4
Montrave,33.2,18,0.4,327,60,Montrave 4
Montrave,33.2,18,0.4,335,10,Montrave 4
Montrave,33.2,18,0.4,336,60,Montrave 4
Montrave,33.2,18,0.4,337,40,Montrave 4
Montrave,33.2,18,0.4,338,50,Montrave 4
Montrave,33.2,19,0.04,340,40,Montrave 4
Montrave,33.2,19,0.04,341,80,Montrave 4
Montrave,33.2,19,0.04,343,25,Montrave 4
