Region.Label,Area,Sample.Label,Effort,object,distance,Study.Area,direction
Montrave,33.2,16,2,175,32,Montrave 1,sw
Montrave,33.2,16,2,179,55,Montrave 1,e
Montrave,33.2,16,2,180,90,Montrave 1,w
Montrave,33.2,17,2,181,70,Montrave 1,se
Montrave,33.2,17,2,182,30,Montrave 1,ne
Montrave,33.2,17,2,186,40,Montrave 1,se
Montrave,33.2,18,2,188,35,Montrave 1,e
Montrave,33.2,18,2,194,17,Montrave 1,e
Montrave,33.2,18,2,195,30,Montrave 1,se
Montrave,33.2,18,2,196,45,Montrave 1,ne
Montrave,33.2,18,2,197,50,Montrave 1,nw
Montrave,33.2,19,2,201,65,Montrave 1,w
Montrave,33.2,19,2,202,75,Montrave 1,e
Montrave,33.2,19,2,208,35,Montrave 1,nw
Montrave,33.2,2,2,14,40,Montrave 1,e
Montrave,33.2,2,2,18,35,Montrave 1,ne
Montrave,33.2,2,2,19,65,Montrave 1,e
Montrave,33.2,20,2,214,55,Montrave 1,ne
Montrave,33.2,20,2,220,32,Montrave 1,e
Montrave,33.2,20,2,221,85,Montrave 1,ne
Montrave,33.2,21,2,227,50,Montrave 1,w
Montrave,33.2,21,2,230,50,Montrave 1,e
Montrave,33.2,21,2,231,70,Montrave 1,w
Montrave,33.2,22,2,234,45,Montrave 1,s
Montrave,33.2,23,2,245,60,Montrave 1,se
Montrave,33.2,24,2,249,70,Montrave 1,se
Montrave,33.2,24,2,251,44,Montrave 1,w
Montrave,33.2,25,2,258,65,Montrave 1,n
Montrave,33.2,26,2,264,25,Montrave 1,w
Montrave,33.2,26,2,265,45,Montrave 1,n
Montrave,33.2,26,2,266,30,Montrave 1,nw
Montrave,33.2,26,2,271,35,Montrave 1,sw
Montrave,33.2,26,2,272,45,Montrave 1,s
Montrave,33.2,26,2,273,70,Montrave 1,ne
Montrave,33.2,27,2,275,16,Montrave 1,nw
Montrave,33.2,27,2,276,55,Montrave 1,w
Montrave,33.2,27,2,278,4,Montrave 1,n
Montrave,33.2,27,2,279,45,Montrave 1,sw
Montrave,33.2,28,2,287,60,Montrave 1,se
Montrave,33.2,28,2,288,70,Montrave 1,ne
Montrave,33.2,29,2,293,50,Montrave 1,e
Montrave,33.2,29,2,294,45,Montrave 1,nw
Montrave,33.2,29,2,295,21,Montrave 1,w
Montrave,33.2,29,2,296,70,Montrave 1,n
Montrave,33.2,29,2,301,30,Montrave 1,w
Montrave,33.2,29,2,302,35,Montrave 1,s
Montrave,33.2,29,2,303,45,Montrave 1,e
Montrave,33.2,29,2,304,55,Montrave 1,sw
Montrave,33.2,29,2,305,70,Montrave 1,n
Montrave,33.2,3,2,22,62,Montrave 1,e
Montrave,33.2,3,2,23,42,Montrave 1,s
Montrave,33.2,3,2,26,40,Montrave 1,s
Montrave,33.2,3,2,27,45,Montrave 1,w
Montrave,33.2,3,2,28,65,Montrave 1,nw
Montrave,33.2,30,2,309,50,Montrave 1,e
Montrave,33.2,30,2,312,15,Montrave 1,e
Montrave,33.2,30,2,313,25,Montrave 1,sw
Montrave,33.2,30,2,314,50,Montrave 1,se
Montrave,33.2,31,2,318,50,Montrave 1,w
Montrave,33.2,31,2,319,50,Montrave 1,sw
Montrave,33.2,31,2,324,65,Montrave 1,nw
Montrave,33.2,32,2,334,40,Montrave 1,ne
Montrave,33.2,32,2,335,75,Montrave 1,nw
Montrave,33.2,4,2,29,55,Montrave 1,se
Montrave,33.2,4,2,30,45,Montrave 1,ne
Montrave,33.2,4,2,34,42,Montrave 1,e
Montrave,33.2,4,2,35,75,Montrave 1,se
Montrave,33.2,4,2,36,90,Montrave 1,e
Montrave,33.2,4,2,37,120,Montrave 1,w
Montrave,33.2,5,2,43,60,Montrave 1,w
Montrave,33.2,5,2,48,50,Montrave 1,e
Montrave,33.2,5,2,49,55,Montrave 1,w
Montrave,33.2,5,2,50,55,Montrave 1,se
Montrave,33.2,5,2,51,65,Montrave 1,n
Montrave,33.2,6,2,55,35,Montrave 1,sw
Montrave,33.2,6,2,56,33,Montrave 1,s
Montrave,33.2,6,2,62,33,Montrave 1,w
Montrave,33.2,6,2,63,60,Montrave 1,n
Montrave,33.2,7,2,68,82,Montrave 1,sw
Montrave,33.2,7,2,72,55,Montrave 1,ne
Montrave,33.2,7,2,73,55,Montrave 1,nw
Montrave,33.2,7,2,74,75,Montrave 1,ne
Montrave,33.2,7,2,75,85,Montrave 1,se
Montrave,33.2,7,2,76,85,Montrave 1,sw
Montrave,33.2,8,2,80,80,Montrave 1,se
Montrave,33.2,8,2,81,60,Montrave 1,n
Montrave,33.2,8,2,82,90,Montrave 1,nw
Montrave,33.2,8,2,85,50,Montrave 1,n
Montrave,33.2,8,2,86,54,Montrave 1,w
Montrave,33.2,8,2,87,80,Montrave 1,e
Montrave,33.2,9,2,91,31,Montrave 1,w
Montrave,33.2,9,2,92,42,Montrave 1,n
Montrave,33.2,9,2,95,30,Montrave 1,n
Montrave,33.2,9,2,96,40,Montrave 1,sw
Montrave,33.2,9,2,97,45,Montrave 1,e
